timestamp=2025-12-04T13:41:05.243Z level=INFO fiber=#0 message="Starting Salesforce Metadata API scraper (visible: false, browsers: 5, concurrency: 20, total: 100)"
timestamp=2025-12-04T13:41:40.667Z level=INFO fiber=#360 message="[206/566] ExternalServiceRegistration → Browser 2"
timestamp=2025-12-04T13:41:40.673Z level=INFO fiber=#377 message="[207/566] ExtlClntAppConfigurablePolicies → Browser 4"
timestamp=2025-12-04T13:41:41.301Z level=INFO fiber=#306 message="[208/566] ExtlClntAppGlobalOauthSettings → Browser 3"
timestamp=2025-12-04T13:41:41.788Z level=INFO fiber=#321 message="[209/566] ExtlClntAppMobileConfigurablePolicies → Browser 3"
timestamp=2025-12-04T13:41:41.801Z level=INFO fiber=#370 message="[210/566] ExtlClntAppMobileSettings → Browser 2"
timestamp=2025-12-04T13:41:41.805Z level=INFO fiber=#296 message="[211/566] ExtlClntAppNotificationSettings → Browser 3"
timestamp=2025-12-04T13:41:42.413Z level=INFO fiber=#387 message="[212/566] ExtlClntAppOauthConfigurablePolicies → Browser 4"
timestamp=2025-12-04T13:41:43.422Z level=INFO fiber=#363 message="[213/566] ExtlClntAppOauthSettings → Browser 5"
timestamp=2025-12-04T13:41:43.430Z level=INFO fiber=#293 message="[214/566] ExtlClntAppPushConfigurablePolicies → Browser 5"
timestamp=2025-12-04T13:41:43.438Z level=INFO fiber=#318 message="[215/566] ExtlClntAppPushSettings → Browser 5"
timestamp=2025-12-04T13:41:43.447Z level=INFO fiber=#323 message="[216/566] ExtlClntAppSamlConfigurablePolicies → Browser 5"
timestamp=2025-12-04T13:41:43.471Z level=INFO fiber=#362 message="[217/566] FeatureParameterBoolean → Browser 4"
timestamp=2025-12-04T13:41:44.248Z level=INFO fiber=#324 message="[219/566] FeatureParameterInteger → Browser 1"
timestamp=2025-12-04T13:41:44.255Z level=INFO fiber=#325 message="[218/566] FeatureParameterDate → Browser 2"
timestamp=2025-12-04T13:41:44.264Z level=INFO fiber=#380 message="[220/566] FieldRestrictionRule → Browser 2"
timestamp=2025-12-04T13:41:44.338Z level=INFO fiber=#303 message="[221/566] FlexiPage → Browser 5"
timestamp=2025-12-04T13:41:44.614Z level=INFO fiber=#359 message="[222/566] Flow → Browser 1"
timestamp=2025-12-04T13:41:44.663Z level=INFO fiber=#294 message="[224/566] FlowDefinition → Browser 1"
timestamp=2025-12-04T13:41:44.750Z level=INFO fiber=#369 message="[223/566] FlowCategory → Browser 1"
